<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200228,11:51:00,1708.0,1708.0,1708.0,1708.0,4
20200228,11:52:00,1708.0,1708.0,1708.0,1708.0,125
20200228,11:53:00,1709.0,1710.0,1709.0,1710.0,13
20200228,11:54:00,1710.0,1710.0,1710.0,1710.0,1
20200228,11:55:00,1710.0,1710.0,1709.0,1710.0,8
20200228,11:58:00,1710.0,1710.0,1710.0,1710.0,3
20200228,12:00:00,1709.0,1709.0,1709.0,1709.0,12
20200228,12:01:00,1709.0,1710.0,1709.0,1710.0,14
20200228,12:03:00,1710.0,1710.0,1710.0,1710.0,11
20200228,12:04:00,1709.0,1709.0,1709.0,1709.0,1
20200228,12:05:00,1710.0,1710.0,1709.0,1709.0,101
20200228,12:06:00,1709.0,1709.0,1709.0,1709.0,3
20200228,12:08:00,1709.0,1709.0,1709.0,1709.0,63
20200228,12:10:00,1709.0,1709.0,1709.0,1709.0,3
20200228,12:11:00,1709.0,1709.0,1709.0,1709.0,15
20200228,12:12:00,1710.0,1710.0,1710.0,1710.0,4
20200228,12:13:00,1709.0,1709.0,1709.0,1709.0,7
20200228,12:14:00,1709.0,1709.0,1709.0,1709.0,1
20200228,12:15:00,1709.0,1710.0,1709.0,1709.0,10
20200228,12:17:00,1709.0,1710.0,1709.0,1710.0,5
20200228,12:18:00,1709.0,1709.0,1709.0,1709.0,58
20200228,12:19:00,1710.0,1710.0,1710.0,1710.0,2
20200228,12:20:00,1709.0,1709.0,1709.0,1709.0,314
20200228,12:22:00,1709.0,1709.0,1709.0,1709.0,15
20200228,12:24:00,1709.0,1710.0,1709.0,1710.0,23
20200228,12:25:00,1710.0,1710.0,1710.0,1710.0,1
20200228,12:26:00,1709.0,1709.0,1709.0,1709.0,6
20200228,12:28:00,1709.0,1709.0,1709.0,1709.0,9
20200228,12:33:00,1709.0,1710.0,1709.0,1709.0,129
20200228,12:34:00,1709.0,1709.0,1709.0,1709.0,50
20200228,12:35:00,1709.0,1709.0,1709.0,1709.0,48
20200228,12:36:00,1709.0,1709.0,1709.0,1709.0,1
20200228,12:37:00,1710.0,1710.0,1710.0,1710.0,1
20200228,12:38:00,1709.0,1709.0,1708.0,1708.0,33
20200228,12:40:00,1708.0,1708.0,1708.0,1708.0,160
20200228,12:41:00,1708.0,1710.0,1708.0,1710.0,28
20200228,12:42:00,1708.0,1708.0,1708.0,1708.0,2
20200228,12:44:00,1708.0,1708.0,1708.0,1708.0,2
20200228,12:46:00,1708.0,1708.0,1708.0,1708.0,108
20200228,12:48:00,1708.0,1708.0,1708.0,1708.0,8
20200228,12:49:00,1708.0,1708.0,1708.0,1708.0,1
20200228,12:50:00,1708.0,1708.0,1708.0,1708.0,21
20200228,12:51:00,1708.0,1708.0,1708.0,1708.0,20
20200228,12:52:00,1708.0,1708.0,1707.0,1707.0,185
20200228,12:54:00,1707.0,1707.0,1706.0,1706.0,293
20200228,12:55:00,1707.0,1707.0,1706.0,1706.0,166
20200228,12:56:00,1706.0,1709.0,1706.0,1709.0,6
20200228,12:59:00,1708.0,1708.0,1708.0,1708.0,3
20200228,13:02:00,1708.0,1708.0,1708.0,1708.0,9
20200228,13:05:00,1707.0,1707.0,1706.0,1706.0,3
20200228,13:06:00,1706.0,1706.0,1706.0,1706.0,6
20200228,13:07:00,1707.0,1707.0,1707.0,1707.0,2
20200228,13:08:00,1708.0,1708.0,1706.0,1706.0,5
20200228,13:09:00,1706.0,1706.0,1706.0,1706.0,150
20200228,13:11:00,1708.0,1708.0,1708.0,1708.0,3
20200228,13:13:00,1708.0,1708.0,1708.0,1708.0,58
20200228,13:15:00,1706.0,1706.0,1706.0,1706.0,6
20200228,13:16:00,1708.0,1708.0,1706.0,1706.0,329
20200228,13:17:00,1708.0,1708.0,1708.0,1708.0,1
20200228,13:18:00,1706.0,1706.0,1706.0,1706.0,12
20200228,13:19:00,1706.0,1706.0,1706.0,1706.0,5
20200228,13:20:00,1706.0,1706.0,1706.0,1706.0,12
20200228,13:22:00,1706.0,1706.0,1706.0,1706.0,8
20200228,13:24:00,1708.0,1708.0,1708.0,1708.0,2
20200228,13:25:00,1706.0,1706.0,1706.0,1706.0,8
20200228,13:26:00,1706.0,1706.0,1706.0,1706.0,92
20200228,13:27:00,1706.0,1706.0,1706.0,1706.0,14
20200228,13:29:00,1708.0,1708.0,1708.0,1708.0,1129
20200228,13:30:00,1708.0,1708.0,1708.0,1708.0,4
20200228,13:32:00,1709.0,1709.0,1709.0,1709.0,5
20200228,13:33:00,1708.0,1708.0,1708.0,1708.0,5
20200228,13:35:00,1708.0,1708.0,1708.0,1708.0,5
20200228,13:37:00,1708.0,1708.0,1708.0,1708.0,1
20200228,13:38:00,1709.0,1709.0,1709.0,1709.0,16
20200228,13:39:00,1708.0,1710.0,1708.0,1710.0,48
20200228,13:41:00,1708.0,1708.0,1708.0,1708.0,1
