TRADEDATE,BOARDID,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
2014-08-06,TQTF,FXRU ETF,FXRU,4,984820.0,3340.0,3338.0,3340.0,3340.0,3338.4,3340.0,295,3344.5,3345.5,3344.5,4250844.0,3409020.0,4250844.0,685724.06
2014-08-07,TQTF,FXRU ETF,FXRU,5,3310841.3,3326.0,3326.0,3331.1,3330.9,3330.8,3331.0,994,3335.3,3334.0,3335.3,5099661.3,4697661.3,5099661.3,685724.06
2014-08-08,TQTF,FXRU ETF,FXRU,3,902466.0,3362.2,3340.0,3362.2,3340.0,3342.5,3340.0,270,3334.3,3333.7,3334.3,5198127.3,4630567.3,5198127.3,685724.06
2014-08-11,TQTF,FXRU ETF,FXRU,4,967745.0,3322.9,3322.9,3340.0,3340.0,3337.1,3340.0,290,3334.0,3334.7,3334.0,5181052.3,4288445.0,5181052.3,685724.06
2014-08-12,TQTF,FXRU ETF,FXRU,0,0.0,,,,3340.0,,,0,3334.7,3334.7,3334.7,6165872.3,4288445.0,6165872.3,685724.06
2014-08-13,TQTF,FXRU ETF,FXRU,2,813600.0,3390.0,3390.0,3390.0,3390.0,3390.0,3390.0,240,3341.5,3349.2,3341.5,5994652.3,3493244.0,5994652.3,685724.06
2014-08-14,TQTF,FXRU ETF,FXRU,2,813600.0,3390.0,3390.0,3390.0,3390.0,3390.0,3390.0,240,3362.9,3362.9,3362.9,3497411.0,3396545.0,3497411.0,685724.06
2014-08-15,TQTF,FXRU ETF,FXRU,2,816000.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,240,3377.2,3377.2,3377.2,3410945.0,3410945.0,3410945.0,685724.06
2014-08-18,TQTF,FXRU ETF,FXRU,2,818400.0,3410.0,3410.0,3410.0,3410.0,3410.0,3410.0,240,3355.7,3386.5,3355.7,10231472.3,4023120.0,10231472.3,685724.06
2014-08-19,TQTF,FXRU ETF,FXRU,2,823200.0,3430.0,3430.0,3430.0,3430.0,3430.0,3430.0,240,3404.0,3404.0,3404.0,4084800.0,4084800.0,4084800.0,685724.06
2014-08-20,TQTF,FXRU ETF,FXRU,2,825600.0,3440.0,3440.0,3440.0,3440.0,3440.0,3440.0,240,3414.0,3414.0,3414.0,4096800.0,4096800.0,4096800.0,685724.06
2014-08-21,TQTF,FXRU ETF,FXRU,2,823200.0,3430.0,3430.0,3430.0,3430.0,3430.0,3430.0,240,3422.0,3422.0,3422.0,4106400.0,4106400.0,4106400.0,685724.06
