TRADEDATE,BOARDID,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,CLOSE,WAPRICE
2015-11-23,RPMO,ОФЗ 26214,SU26214RMFS5,3,417798862.32,83.48,70.5951,83.48,83.48,
2015-11-24,RPMO,ОФЗ 26214,SU26214RMFS5,2,704944100.0,82.9346,82.9346,82.9346,82.9346,
2015-11-25,RPMO,ОФЗ 26214,SU26214RMFS5,4,898756300.0,82.1999,81.2928,82.1999,81.2928,
2015-11-26,RPMO,ОФЗ 26214,SU26214RMFS5,2,816270500.0,81.17399999999999,81.17399999999999,82.0801,82.0801,
2015-11-27,RPMO,ОФЗ 26214,SU26214RMFS5,2,817399000.0,82.1936,81.2862,82.1936,81.2862,
2015-11-30,RPMO,ОФЗ 26214,SU26214RMFS5,2,816127000.0,82.066,81.1594,82.066,81.1594,
2015-12-01,RPMO,ОФЗ 26214,SU26214RMFS5,3,1640346500.0,81.3358,81.3358,82.2445,82.2445,
2015-12-02,RPMO,ОФЗ 26214,SU26214RMFS5,1,490186200.0,81.6977,81.6977,81.6977,81.6977,
2015-12-03,RPMO,ОФЗ 26214,SU26214RMFS5,2,865907227.0,81.7929,81.7929,83.5523,83.5523,
2015-12-04,RPMO,ОФЗ 26214,SU26214RMFS5,8,1828168608.36,81.513,81.513,83.2667,82.3898,
2015-12-07,RPMO,ОФЗ 26214,SU26214RMFS5,6,1361295313.15,81.5733,81.5733,83.3294,83.3294,
2015-12-08,RPMO,ОФЗ 26214,SU26214RMFS5,6,1355516681.22,81.2268,81.2268,82.9758,82.9758,
2015-12-09,RPMO,ОФЗ 26214,SU26214RMFS5,10,1353128502.24,80.9018,8.5893,85.2579,8.5893,
2015-12-10,RPMO,ОФЗ 26214,SU26214RMFS5,9,1336167397.99,80.9216,80.9216,85.2678,82.6536,
2015-12-11,RPMO,ОФЗ 26214,SU26214RMFS5,9,1330696747.03,81.2804,8.5988,85.2767,8.5988,
2015-12-14,RPMO,ОФЗ 26214,SU26214RMFS5,8,1431700879.18,81.2674,81.2674,85.3055,85.3055,
2015-12-15,RPMO,ОФЗ 26214,SU26214RMFS5,7,1355955993.14,80.89399999999999,80.89399999999999,85.3144,85.3144,
