<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200320,16:20:00,1556.0,1556.0,1556.0,1556.0,10
20200320,16:23:00,1555.0,1556.0,1555.0,1555.0,10
20200320,16:24:00,1555.0,1556.0,1555.0,1556.0,2
20200320,16:25:00,1560.0,1560.0,1560.0,1560.0,1
20200320,16:26:00,1563.0,1563.0,1563.0,1563.0,1
20200320,16:28:00,1565.0,1565.0,1565.0,1565.0,1
20200320,16:29:00,1565.0,1565.0,1565.0,1565.0,2
20200320,16:30:00,1566.0,1566.0,1566.0,1566.0,1
20200320,16:31:00,1566.0,1566.0,1566.0,1566.0,2
20200320,16:33:00,1566.0,1566.0,1566.0,1566.0,1
20200320,16:34:00,1561.0,1561.0,1556.0,1556.0,25
20200320,16:37:00,1562.0,1562.0,1562.0,1562.0,9
20200320,16:39:00,1562.0,1562.0,1521.0,1521.0,1604
20200320,16:41:00,1557.0,1558.0,1557.0,1558.0,6
20200320,16:42:00,1540.0,1544.0,1540.0,1544.0,16
20200320,16:43:00,1541.0,1542.0,1541.0,1542.0,5
20200320,16:44:00,1542.0,1542.0,1541.0,1541.0,3
20200320,16:45:00,1540.0,1540.0,1540.0,1540.0,1
20200320,16:46:00,1540.0,1545.0,1540.0,1545.0,16
20200320,16:47:00,1550.0,1559.0,1550.0,1559.0,5
20200320,16:50:00,1559.0,1563.0,1559.0,1563.0,16
20200320,16:51:00,1565.0,1567.0,1565.0,1567.0,30
20200320,16:52:00,1566.0,1566.0,1566.0,1566.0,2
20200320,16:55:00,1566.0,1566.0,1566.0,1566.0,1
20200320,16:56:00,1560.0,1560.0,1560.0,1560.0,1
20200320,16:57:00,1560.0,1560.0,1560.0,1560.0,1
20200320,16:58:00,1560.0,1560.0,1560.0,1560.0,4
20200320,16:59:00,1560.0,1565.0,1560.0,1565.0,25
20200320,17:00:00,1545.0,1545.0,1545.0,1545.0,3
20200320,17:01:00,1565.0,1565.0,1565.0,1565.0,1
20200320,17:03:00,1565.0,1565.0,1565.0,1565.0,3
20200320,17:05:00,1565.0,1565.0,1565.0,1565.0,1
20200320,17:06:00,1546.0,1546.0,1546.0,1546.0,2
20200320,17:07:00,1559.0,1562.0,1559.0,1562.0,5
20200320,17:10:00,1563.0,1564.0,1563.0,1564.0,3
20200320,17:12:00,1563.0,1563.0,1563.0,1563.0,1
20200320,17:13:00,1564.0,1564.0,1525.0,1525.0,708
20200320,17:14:00,1555.0,1555.0,1555.0,1555.0,1
20200320,17:17:00,1543.0,1563.0,1542.0,1563.0,25
20200320,17:19:00,1528.0,1563.0,1528.0,1563.0,8
20200320,17:21:00,1528.0,1556.0,1527.0,1556.0,178
20200320,17:22:00,1548.0,1548.0,1548.0,1548.0,1
20200320,17:23:00,1545.0,1545.0,1545.0,1545.0,4
20200320,17:24:00,1548.0,1548.0,1548.0,1548.0,1
20200320,17:25:00,1542.0,1542.0,1542.0,1542.0,6
20200320,17:26:00,1542.0,1542.0,1542.0,1542.0,16
20200320,17:27:00,1542.0,1542.0,1542.0,1542.0,3
20200320,17:28:00,1540.0,1540.0,1540.0,1540.0,3
20200320,17:29:00,1531.0,1531.0,1531.0,1531.0,4
20200320,17:30:00,1538.0,1538.0,1538.0,1538.0,1
20200320,17:31:00,1538.0,1538.0,1538.0,1538.0,6
20200320,17:37:00,1538.0,1538.0,1538.0,1538.0,7
20200320,17:39:00,1538.0,1538.0,1538.0,1538.0,5
20200320,17:40:00,1538.0,1538.0,1538.0,1538.0,1
20200320,17:41:00,1538.0,1538.0,1538.0,1538.0,5
20200320,17:42:00,1538.0,1538.0,1538.0,1538.0,2
20200320,17:44:00,1538.0,1538.0,1538.0,1538.0,1
20200320,17:45:00,1538.0,1538.0,1538.0,1538.0,19
20200320,17:46:00,1539.0,1549.0,1538.0,1549.0,17
20200320,17:53:00,1546.0,1546.0,1546.0,1546.0,9
20200320,17:54:00,1543.0,1543.0,1543.0,1543.0,6
20200320,17:55:00,1545.0,1545.0,1545.0,1545.0,1
20200320,17:57:00,1545.0,1545.0,1545.0,1545.0,2
20200320,18:01:00,1545.0,1546.0,1545.0,1546.0,4
20200320,18:03:00,1546.0,1546.0,1546.0,1546.0,1
20200320,18:04:00,1546.0,1546.0,1527.0,1527.0,134
20200320,18:05:00,1543.0,1543.0,1543.0,1543.0,1
20200320,18:07:00,1540.0,1540.0,1540.0,1540.0,1
20200320,18:08:00,1539.0,1539.0,1539.0,1539.0,6
20200320,18:10:00,1538.0,1538.0,1538.0,1538.0,37
20200320,18:13:00,1538.0,1538.0,1538.0,1538.0,1
20200320,18:14:00,1538.0,1538.0,1538.0,1538.0,12
20200320,18:16:00,1538.0,1538.0,1538.0,1538.0,1
20200320,18:17:00,1538.0,1538.0,1537.0,1537.0,6
20200320,18:19:00,1536.0,1536.0,1535.0,1535.0,35
20200320,18:20:00,1533.0,1533.0,1533.0,1533.0,4
20200320,18:21:00,1529.0,1543.0,1529.0,1543.0,8
20200320,18:22:00,1543.0,1543.0,1543.0,1543.0,2
20200320,18:23:00,1531.0,1543.0,1530.0,1543.0,136
20200320,18:25:00,1542.0,1542.0,1542.0,1542.0,1
20200320,18:26:00,1531.0,1543.0,1531.0,1543.0,2
20200320,18:28:00,1531.0,1531.0,1527.0,1527.0,195
20200320,18:29:00,1541.0,1541.0,1541.0,1541.0,1
20200320,18:30:00,1537.0,1537.0,1537.0,1537.0,3
20200320,18:31:00,1536.0,1537.0,1536.0,1537.0,2
20200320,18:32:00,1535.0,1537.0,1526.0,1537.0,37
20200320,18:33:00,1537.0,1537.0,1527.0,1527.0,3
20200320,18:34:00,1527.0,1527.0,1527.0,1527.0,7
20200320,18:35:00,1526.0,1526.0,1526.0,1526.0,91
20200320,18:36:00,1527.0,1527.0,1527.0,1527.0,14
20200320,18:39:00,1530.0,1530.0,1530.0,1530.0,7
20200320,18:44:00,1535.0,1535.0,1535.0,1535.0,2
